County_Name,state_abbr,State Identifier,Obesity_Prevalence,Hispanic,Asian,Black,White,food_access,inactivity,poverty,Metro_Values,Metro_Nonmetro,GEOID
Dekalb County,GA,13,0.244,0.086,0.058,0.537,0.337,0.550,0.209,0.171,1,Metropolitan,13089
Dodge County,GA,13,0.246,0.036,0.002,0.294,0.674,0.000,0.239,0.243,0,Nonmetropolitan,13091
Dooly County,GA,13,0.223,0.068,0.001,0.497,0.442,0.865,0.196,0.287,0,Nonmetropolitan,13093
Dougherty County,GA,13,0.291,0.029,0.008,0.685,0.273,0.622,0.259,0.298,1,Metropolitan,13095
Douglas County,GA,13,0.259,0.100,0.017,0.445,0.477,0.707,0.228,0.132,1,Metropolitan,13097
Early County,GA,13,0.208,0.017,0.003,0.515,0.459,0.000,0.213,0.282,0,Nonmetropolitan,13099
Echols County,GA,13,0.196,0.288,0.007,0.030,0.725,0.420,0.165,0.250,1,Metropolitan,13101
Effingham County,GA,13,0.255,0.047,0.009,0.136,0.809,0.346,0.202,0.103,1,Metropolitan,13103
Elbert County,GA,13,0.216,0.059,0.005,0.295,0.670,0.491,0.219,0.215,0,Nonmetropolitan,13105
Emanuel County,GA,13,0.240,0.046,0.002,0.333,0.612,0.594,0.207,0.272,0,Nonmetropolitan,13107
Evans County,GA,13,0.208,0.121,0.007,0.288,0.586,0.000,0.197,0.257,0,Nonmetropolitan,13109
Fannin County,GA,13,0.223,0.025,0.004,0.004,0.959,0.000,0.221,0.169,0,Nonmetropolitan,13111
Fayette County,GA,13,0.227,0.074,0.044,0.220,0.676,0.742,0.182,0.064,1,Metropolitan,13113
Floyd County,GA,13,0.266,0.106,0.014,0.142,0.772,0.592,0.253,0.191,1,Metropolitan,13115
Forsyth County,GA,13,0.223,0.096,0.111,0.033,0.796,0.802,0.176,0.060,1,Metropolitan,13117
Franklin County,GA,13,0.212,0.049,0.009,0.092,0.854,0.000,0.210,0.193,0,Nonmetropolitan,13119
Fulton County,GA,13,0.235,0.073,0.066,0.439,0.439,0.607,0.191,0.160,1,Metropolitan,13121
Gilmer County,GA,13,0.227,0.120,0.003,0.010,0.915,0.359,0.218,0.177,0,Nonmetropolitan,13123
Glascock County,GA,13,0.198,0.014,0.000,0.091,0.886,1.000,0.178,0.177,0,Nonmetropolitan,13125
Glynn County,GA,13,0.244,0.066,0.012,0.254,0.673,0.726,0.220,0.176,1,Metropolitan,13127
Gordon County,GA,13,0.244,0.161,0.011,0.040,0.855,0.373,0.222,0.159,0,Nonmetropolitan,13129
Grady County,GA,13,0.237,0.110,0.003,0.290,0.637,0.093,0.230,0.238,0,Nonmetropolitan,13131
Greene County,GA,13,0.215,0.063,0.008,0.352,0.586,0.315,0.209,0.197,0,Nonmetropolitan,13133
Gwinnett County,GA,13,0.258,0.213,0.116,0.262,0.476,0.771,0.204,0.120,1,Metropolitan,13135
Habersham County,GA,13,0.224,0.152,0.022,0.036,0.855,0.227,0.212,0.160,0,Nonmetropolitan,13137
Hall County,GA,13,0.251,0.278,0.019,0.072,0.793,0.436,0.213,0.153,1,Metropolitan,13139
Hancock County,GA,13,0.206,0.013,0.005,0.732,0.246,0.718,0.187,0.328,0,Nonmetropolitan,13141
Haralson County,GA,13,0.221,0.018,0.007,0.046,0.918,0.271,0.202,0.180,1,Metropolitan,13143
Harris County,GA,13,0.229,0.039,0.007,0.163,0.786,0.000,0.189,0.092,1,Metropolitan,13145
Hart County,GA,13,0.206,0.036,0.008,0.189,0.768,0.000,0.205,0.186,0,Nonmetropolitan,13147
Heard County,GA,13,0.200,0.016,0.004,0.101,0.859,0.000,0.181,0.193,1,Metropolitan,13149
Henry County,GA,13,0.288,0.066,0.032,0.422,0.488,0.733,0.210,0.100,1,Metropolitan,13151
Houston County,GA,13,0.273,0.067,0.029,0.300,0.605,0.754,0.225,0.136,1,Metropolitan,13153
Irwin County,GA,13,0.208,0.021,0.002,0.278,0.693,0.000,0.195,0.233,0,Nonmetropolitan,13155
Jackson County,GA,13,0.229,0.081,0.017,0.071,0.861,0.456,0.221,0.124,0,Nonmetropolitan,13157
Jasper County,GA,13,0.202,0.040,0.004,0.203,0.748,0.000,0.187,0.167,1,Metropolitan,13159
Jeff Davis County,GA,13,0.216,0.123,0.002,0.159,0.756,0.523,0.183,0.224,0,Nonmetropolitan,13161
Jefferson County,GA,13,0.225,0.038,0.003,0.547,0.428,0.000,0.207,0.255,0,Nonmetropolitan,13163
Jenkins County,GA,13,0.209,0.070,0.003,0.355,0.591,0.000,0.189,0.322,0,Nonmetropolitan,13165
Johnson County,GA,13,0.231,0.026,0.007,0.340,0.630,0.279,0.217,0.293,0,Nonmetropolitan,13167
Jones County,GA,13,0.232,0.016,0.007,0.249,0.725,0.499,0.215,0.135,1,Metropolitan,13169
Lamar County,GA,13,0.205,0.024,0.006,0.290,0.663,0.422,0.187,0.176,0,Nonmetropolitan,13171
Lanier County,GA,13,0.215,0.064,0.013,0.237,0.703,0.000,0.196,0.218,1,Metropolitan,13173
Laurens County,GA,13,0.312,0.027,0.010,0.367,0.599,0.378,0.290,0.241,0,Nonmetropolitan,13175
Lee County,GA,13,0.231,0.027,0.025,0.207,0.736,0.430,0.181,0.109,1,Metropolitan,13177
Liberty County,GA,13,0.257,0.126,0.021,0.413,0.452,0.473,0.231,0.173,1,Metropolitan,13179
Lincoln County,GA,13,0.206,0.019,0.002,0.310,0.668,0.000,0.197,0.191,1,Metropolitan,13181
Long County,GA,13,0.203,0.117,0.007,0.244,0.631,0.000,0.183,0.191,1,Metropolitan,13183
Lowndes County,GA,13,0.288,0.058,0.018,0.364,0.565,0.363,0.245,0.236,1,Metropolitan,13185
Lumpkin County,GA,13,0.215,0.050,0.006,0.018,0.933,0.000,0.182,0.161,1,Metropolitan,13187
Macon County,GA,13,0.216,0.042,0.013,0.601,0.350,0.000,0.218,0.308,0,Nonmetropolitan,13189
Madison County,GA,13,0.236,0.057,0.013,0.085,0.849,0.151,0.206,0.165,1,Metropolitan,13191
Marion County,GA,13,0.211,0.050,0.011,0.329,0.599,0.000,0.192,0.232,1,Metropolitan,13193
Mcduffie County,GA,13,0.224,0.032,0.002,0.407,0.557,0.000,0.209,0.217,1,Metropolitan,13195
Mcintosh County,GA,13,0.209,0.021,0.006,0.343,0.620,0.293,0.209,0.210,1,Metropolitan,13197
Meriwether County,GA,13,0.220,0.024,0.005,0.390,0.579,0.346,0.209,0.218,1,Metropolitan,13199
Miller County,GA,13,0.199,0.017,0.002,0.292,0.680,0.000,0.190,0.238,0,Nonmetropolitan,13201
Mitchell County,GA,13,0.226,0.047,0.001,0.469,0.487,0.332,0.222,0.295,0,Nonmetropolitan,13205
Monroe County,GA,13,0.216,0.024,0.009,0.230,0.735,0.177,0.196,0.132,1,Metropolitan,13207
Montgomery County,GA,13,0.220,0.070,0.003,0.257,0.686,0.250,0.202,0.230,0,Nonmetropolitan,13209
Morgan County,GA,13,0.209,0.032,0.001,0.235,0.733,0.554,0.195,0.137,1,Metropolitan,13211
Murray County,GA,13,0.260,0.151,0.005,0.009,0.943,0.286,0.222,0.182,1,Metropolitan,13213
Muscogee County,GA,13,0.306,0.077,0.024,0.458,0.440,0.527,0.251,0.204,1,Metropolitan,13215
Newton County,GA,13,0.267,0.057,0.012,0.434,0.507,0.671,0.233,0.149,1,Metropolitan,13217
Oconee County,GA,13,0.217,0.052,0.038,0.048,0.874,0.228,0.180,0.071,1,Metropolitan,13219
Oglethorpe County,GA,13,0.217,0.050,0.005,0.172,0.783,0.000,0.195,0.151,1,Metropolitan,13221
Paulding County,GA,13,0.259,0.067,0.010,0.189,0.749,0.716,0.212,0.089,1,Metropolitan,13223
Peach County,GA,13,0.218,0.075,0.008,0.448,0.484,0.359,0.218,0.218,1,Metropolitan,13225
Pickens County,GA,13,0.221,0.032,0.005,0.008,0.953,0.226,0.191,0.121,1,Metropolitan,13227
Pierce County,GA,13,0.227,0.051,0.002,0.092,0.861,0.155,0.210,0.188,0,Nonmetropolitan,13229
Pike County,GA,13,0.208,0.015,0.004,0.099,0.876,0.000,0.190,0.115,1,Metropolitan,13231
Polk County,GA,13,0.234,0.129,0.007,0.126,0.778,0.276,0.224,0.198,0,Nonmetropolitan,13233
Pulaski County,GA,13,0.225,0.039,0.005,0.344,0.625,0.000,0.217,0.226,0,Nonmetropolitan,13235
Putnam County,GA,13,0.210,0.065,0.004,0.262,0.687,0.329,0.199,0.173,0,Nonmetropolitan,13237
Quitman County,GA,13,0.198,0.022,0.017,0.521,0.442,0.000,0.198,0.261,0,Nonmetropolitan,13239
Rabun County,GA,13,0.210,0.080,0.011,0.015,0.921,0.000,0.200,0.166,0,Nonmetropolitan,13241
Randolph County,GA,13,0.210,0.025,0.008,0.609,0.350,0.754,0.200,0.294,0,Nonmetropolitan,13243
Richmond County,GA,13,0.306,0.051,0.017,0.555,0.375,0.789,0.263,0.241,1,Metropolitan,13245
Rockdale County,GA,13,0.266,0.103,0.019,0.516,0.401,0.756,0.220,0.145,1,Metropolitan,13247
Schley County,GA,13,0.198,0.054,0.007,0.248,0.704,0.000,0.178,0.180,0,Nonmetropolitan,13249
Screven County,GA,13,0.228,0.022,0.003,0.420,0.555,0.179,0.214,0.243,0,Nonmetropolitan,13251
Seminole County,GA,13,0.204,0.033,0.007,0.334,0.637,0.374,0.201,0.254,0,Nonmetropolitan,13253
Spalding County,GA,13,0.253,0.047,0.009,0.336,0.618,0.557,0.225,0.214,1,Metropolitan,13255
Stephens County,GA,13,0.225,0.037,0.008,0.114,0.838,0.252,0.204,0.192,0,Nonmetropolitan,13257
Stewart County,GA,13,0.196,0.165,0.019,0.580,0.268,0.674,0.182,0.361,1,Metropolitan,13259
Sumter County,GA,13,0.240,0.057,0.013,0.518,0.428,0.199,0.231,0.287,0,Nonmetropolitan,13261
Talbot County,GA,13,0.210,0.016,0.003,0.577,0.406,0.337,0.197,0.232,1,Metropolitan,13263
Taliaferro County,GA,13,0.198,0.051,0.003,0.559,0.383,1.000,0.193,0.277,0,Nonmetropolitan,13265
