County_Name,state_abbr,State Identifier,Obesity_Prevalence,Hispanic,Asian,Black,White,food_access,inactivity,poverty,Metro_Values,Metro_Nonmetro,GEOID
Monterey County,CA,6,0.247,0.589,0.060,0.026,0.597,0.257,0.202,0.147,1,Metropolitan,06053
Napa County,CA,6,0.224,0.336,0.076,0.020,0.721,0.213,0.190,0.090,1,Metropolitan,06055
Nevada County,CA,6,0.203,0.096,0.014,0.005,0.910,0.573,0.178,0.111,0,Nonmetropolitan,06057
Orange County,CA,6,0.203,0.341,0.198,0.017,0.582,0.201,0.173,0.114,1,Metropolitan,06059
Placer County,CA,6,0.206,0.143,0.073,0.015,0.809,0.556,0.152,0.077,1,Metropolitan,06061
Plumas County,CA,6,0.215,0.093,0.009,0.013,0.895,0.238,0.197,0.138,0,Nonmetropolitan,06063
Riverside County,CA,6,0.278,0.494,0.064,0.064,0.583,0.471,0.211,0.144,1,Metropolitan,06065
Sacramento County,CA,6,0.273,0.234,0.157,0.099,0.561,0.319,0.193,0.156,1,Metropolitan,06067
San Benito County,CA,6,0.226,0.602,0.028,0.011,0.730,0.439,0.191,0.107,1,Metropolitan,06069
San Bernardino County,CA,6,0.292,0.537,0.070,0.083,0.563,0.460,0.227,0.169,1,Metropolitan,06071
San Diego County,CA,6,0.221,0.339,0.116,0.050,0.667,0.327,0.170,0.128,1,Metropolitan,06073
San Francisco County,CA,6,0.165,0.154,0.342,0.055,0.466,0.010,0.170,0.117,1,Metropolitan,06075
San Joaquin County,CA,6,0.299,0.417,0.155,0.071,0.526,0.343,0.228,0.161,1,Metropolitan,06077
San Luis Obispo County,CA,6,0.231,0.228,0.036,0.018,0.823,0.456,0.167,0.131,1,Metropolitan,06079
San Mateo County,CA,6,0.196,0.244,0.277,0.025,0.515,0.207,0.160,0.072,1,Metropolitan,06081
Santa Barbara County,CA,6,0.228,0.457,0.053,0.019,0.707,0.312,0.191,0.147,1,Metropolitan,06083
Santa Clara County,CA,6,0.203,0.255,0.355,0.025,0.440,0.186,0.167,0.086,1,Metropolitan,06085
Santa Cruz County,CA,6,0.203,0.338,0.046,0.010,0.751,0.449,0.153,0.133,1,Metropolitan,06087
Shasta County,CA,6,0.246,0.103,0.029,0.010,0.854,0.453,0.193,0.163,1,Metropolitan,06089
Sierra County,CA,6,0.208,0.107,0.000,0.005,0.931,1.000,0.195,0.133,0,Nonmetropolitan,06091
